player,player_link,mp_per_g,trb_per_g,pts_per_g,ast_per_g
Reed Sheppard,https://www.basketball-reference.com/players/s/sheppre01.html,28.9,4.1,12.5,4.5
Stephon Castle,https://www.basketball-reference.com/players/c/castlst01.html,27.0,4.7,11.1,2.9
Donovan Clingan,https://www.basketball-reference.com/players/c/clingdo01.html,17.6,6.4,9.8,1.0
Rob Dillingham,https://www.basketball-reference.com/players/d/dilliro01.html,23.3,2.9,15.2,3.9
Zach Edey,https://www.basketball-reference.com/players/e/edeyza01.html,24.9,9.6,18.2,1.3
Cody Williams,https://www.basketball-reference.com/players/w/willico04.html,28.4,3.0,11.9,1.6
Devin Carter,https://www.basketball-reference.com/players/c/cartede02.html,29.0,5.9,14.1,2.7
Carlton Carrington,https://www.basketball-reference.com/players/c/carrica01.html,33.2,5.2,13.8,4.1
Kel'el Ware,https://www.basketball-reference.com/players/w/wareke01.html,23.3,6.7,10.9,1.0
Jared McCain,https://www.basketball-reference.com/players/m/mccaija01.html,31.6,5.0,14.3,1.9
Dalton Knecht,https://www.basketball-reference.com/players/k/knechda01.html,29.8,5.2,16.9,1.5
Tristan Da Silva,https://www.basketball-reference.com/players/d/dasiltr01.html,26.9,3.8,11.7,1.6
Ja'Kobe Walter,https://www.basketball-reference.com/players/w/walteja01.html,32.3,4.4,14.5,1.4
Jaylon Tyson,https://www.basketball-reference.com/players/t/tysonja01.html,28.7,5.8,13.6,2.2
DaRon Holmes,https://www.basketball-reference.com/players/h/holmeda01.html,32.5,7.5,17.1,1.9
Kyshawn George,https://www.basketball-reference.com/players/g/georgky01.html,23.0,3.0,7.6,2.2
Dillon Jones,https://www.basketball-reference.com/players/j/jonesdi01.html,32.8,9.6,15.0,3.5
Terrence Shannon Jr.,https://www.basketball-reference.com/players/s/shannte01.html,28.5,3.9,15.0,1.9
Isaiah Collier,https://www.basketball-reference.com/players/c/colliis01.html,30.0,2.9,16.3,4.3
Baylor Scheierman,https://www.basketball-reference.com/players/s/scheiba01.html,31.6,7.8,13.8,3.6
Jonathan Mogbo,https://www.basketball-reference.com/players/m/mogbojo01.html,28.9,10.1,14.2,3.6
Kyle Filipowski,https://www.basketball-reference.com/players/f/filipky01.html,29.8,8.6,15.8,2.2
Tyler Kolek,https://www.basketball-reference.com/players/k/kolekty01.html,31.4,4.1,11.5,6.2
Johnny Furphy,https://www.basketball-reference.com/players/f/furphjo01.html,24.1,4.9,9.0,1.0
Bobi Klintman,https://www.basketball-reference.com/players/k/klintbo01.html,20.5,4.5,5.3,0.8
Ajay Mitchell,https://www.basketball-reference.com/players/m/mitchaj01.html,32.5,3.0,16.1,4.3
Jaylen Wells,https://www.basketball-reference.com/players/w/wellsja01.html,29.2,4.6,12.6,1.2
Oso Ighodaro,https://www.basketball-reference.com/players/i/ighodos01.html,26.7,5.3,9.9,2.3
Adem Bona,https://www.basketball-reference.com/players/b/bonaad01.html,24.7,5.6,10.1,1.0
KJ Simpson,https://www.basketball-reference.com/players/s/simpskj01.html,29.6,4.3,14.6,3.9
Pelle Larsson,https://www.basketball-reference.com/players/l/larsspe01.html,26.1,3.8,9.6,2.8
Jamal Shead,https://www.basketball-reference.com/players/s/sheadja01.html,27.5,2.8,9.7,5.0
Cam Christie,https://www.basketball-reference.com/players/c/chrisca02.html,30.1,3.6,11.3,2.2
Antonio Reeves,https://www.basketball-reference.com/players/r/reevean01.html,29.3,3.1,15.1,1.3
Harrison Ingram,https://www.basketball-reference.com/players/i/ingraha01.html,30.7,7.2,11.1,2.9
Tristen Newton,https://www.basketball-reference.com/players/n/newtotr01.html,31.6,5.1,12.8,4.9
Enrique Freeman,https://www.basketball-reference.com/players/f/freemen01.html,27.8,10.6,14.0,1.3
Quinten Post,https://www.basketball-reference.com/players/p/postqu01.html,20.6,5.1,10.2,1.3
Cam Spencer,https://www.basketball-reference.com/players/s/spencca01.html,32.3,4.3,14.2,3.3
Anton Watson,https://www.basketball-reference.com/players/w/watsoan02.html,23.7,5.2,9.6,2.0
Bronny James,https://www.basketball-reference.com/players/j/jamesbr02.html,19.3,2.8,4.8,2.1
Kevin McCullar Jr.,https://www.basketball-reference.com/players/m/mcculke01.html,28.6,5.4,11.0,2.4
